Symbol,Direction,Entry Time,Exit Time,Entry Price,Exit Price,Exit Reason,Net PnL,Fee,Equity After
SOL_USDT,short,2024-06-02 22:30:00,2024-06-03 01:30:00,163.18,164.88239145044096,stop_loss,-18.336164070211325,1.3122495658017637,981.6638359297887
SOL_USDT,short,2024-06-03 02:00:00,2024-06-03 05:00:00,164.56,164.88239145044096,stop_loss,-13.170883803612973,3.821531740825115,968.4929521261757
SOL_USDT,short,2024-06-03 05:30:00,2024-06-03 06:00:00,164.74,164.88239145044096,stop_loss,-7.952971803612776,3.8236197408251162,960.539980322563
SOL_USDT,long,2024-06-05 06:00:00,2024-06-06 06:30:00,173.38,171.9980284886363,stop_loss,-9.120736336554938,0.8289072683727271,951.419243986008
SOL_USDT,short,2024-06-07 00:30:00,2024-06-07 04:00:00,170.45,171.71164973373877,stop_loss,-20.977715904484107,2.0529698984024325,930.441528081524
SOL_USDT,long,2024-06-07 05:30:00,2024-06-07 12:30:00,171.87,170.33453279432595,stop_loss,-13.378792150334263,1.095054504941843,917.0627359311898
ETH_USDT,short,2024-06-07 20:30:00,2024-06-09 12:00:00,3676.09,3694.2604038098602,stop_loss,-4.646079673704488,0.6485908355352678,912.4166562574853
ETH_USDT,short,2024-06-09 12:30:00,2024-06-09 13:00:00,3689.01,3704.6,stop_loss,-22.813356119999618,3.6376561200000004,889.6033001374857
SOL_USDT,short,2024-06-09 12:30:00,2024-06-09 13:00:00,159.38,161.07,stop_loss,-50.90903999999993,3.5890400000000002,838.6942601374858
SOL_USDT,short,2024-06-10 04:00:00,2024-06-10 15:00:00,159.89,160.5303146720143,stop_loss,-5.3793795851818285,0.8971768810816401,833.314880552304
SOL_USDT,long,2024-06-10 16:30:00,2024-06-10 22:00:00,161.41,158.81330620083293,stop_loss,-16.348698729884422,0.768535934881999,816.9661818224196
ETH_USDT,short,2024-06-11 05:30:00,2024-06-12 04:00:00,3566.22,3525.40704854333,stop_loss,8.734549146568092,0.6524296884659864,825.7007309689876
ETH_USDT,short,2024-06-12 19:30:00,2024-06-13 12:30:00,3555.07,3534.82590976588,stop_loss,2.43713846182991,0.39703417094688936,828.1378694308175
ETH_USDT,short,2024-06-13 13:00:00,2024-06-14 05:30:00,3494.43,3523.329110528905,stop_loss,-12.999547810977838,1.1509124941267406,815.1383216198398
SOL_USDT,short,2024-06-13 02:30:00,2024-06-16 14:00:00,153.17,146.37640213652998,stop_loss,26.6951172104616,0.479274243418448,841.8334388303014
SOL_USDT,long,2024-06-17 00:30:00,2024-06-17 02:00:00,150.99,148.30991079821695,stop_loss,-16.798854996614093,0.7183197859157208,825.0345838336873
