entry_time,exit_time,direction,qty,entry_price,exit_price,exit_reason,pnl,fee,net_pnl,equity
2024-06-05 05:30:00,2024-06-05 14:00:00,long,257,71050.4,70410.86437847422,stop_loss,-16.436065473212494,1.4542217978107148,-17.890287271023208,982.1097127289768
2024-06-05 14:30:00,2024-06-06 19:30:00,long,572,70754.0,70728.44408019997,stop_loss,-1.4617986125615134,3.2371183205549756,-4.6989169331164895,977.4107957958603
2024-06-08 00:30:00,2024-06-09 12:30:00,short,240,69460.5,69442.99410751603,stop_loss,0.4201414196152473,1.333473543432154,-0.9133321238169068,976.4974636720434
2024-06-11 12:30:00,2024-06-12 09:30:00,short,158,66820.6,67752.3637171089,stop_loss,-14.721866730320635,0.8505011306921284,-15.572367861012763,960.9250958110307
2024-06-12 10:00:00,2024-06-12 10:30:00,short,1418,67736.5,67853.0,stop_loss,-16.5197,7.6906364400000005,-24.21033644,936.7147593710307
2024-06-12 13:30:00,2024-06-12 18:00:00,long,202,69200.0,68731.21128393913,stop_loss,-9.469532064429496,1.1144841871742284,-10.584016251603725,926.1307431194269
2024-06-18 14:30:00,2024-06-19 04:00:00,short,248,65076.1,65643.9291098275,stop_loss,-14.08216192372201,1.2967426887694888,-15.3789046124915,910.7518385069354
2024-06-19 04:30:00,2024-06-19 07:00:00,short,1388,65587.1,65643.9291098275,stop_loss,-7.887880444056041,7.285946736177625,-15.173827180233666,895.5780113267018
2024-06-19 08:30:00,2024-06-20 05:30:00,short,395,65190.4,65429.58830905419,stop_loss,-9.447938207640457,2.063795815283056,-11.511734022923513,884.0662773037783
2024-06-24 02:30:00,2024-06-25 03:00:00,short,362,63214.1,61387.69411803787,stop_loss,66.11589292702904,1.8042339788291888,64.31165894819985,948.3779362519781
2024-06-30 20:30:00,2024-07-01 11:00:00,long,262,62262.7,62749.738305496794,stop_loss,12.760403604016082,1.3101303534416064,11.450273250574476,959.8282095025526
2024-07-01 11:30:00,2024-07-01 12:00:00,long,1529,62767.7,62679.5,stop_loss,-13.485779999999558,7.672350752,-21.158130751999558,938.670078750553
2024-07-01 17:30:00,2024-07-02 07:00:00,long,205,63326.3,62762.42599792371,stop_loss,-11.559417042563997,1.0339275531829748,-12.593344595746972,926.076734154806
2024-07-03 08:30:00,2024-07-05 16:00:00,short,306,60956.7,56817.527152765,stop_loss,126.65868912539104,1.4415565403498436,125.21713258504118,1051.293866739847
2024-07-08 07:30:00,2024-07-08 08:00:00,short,503,55723.1,56140.48904827185,stop_loss,-20.994669128074,2.25069541165123,-23.24536453972523,1028.048502200122
2024-07-14 01:30:00,2024-07-16 06:30:00,long,213,59558.2,63199.803020169165,stop_loss,77.56614432960329,1.0458981857318412,76.52024614387145,1104.5687483439933
2024-07-16 16:30:00,2024-07-17 11:00:00,long,155,64491.8,64769.12920053476,stop_loss,4.298602608288686,0.8014177610433155,3.4971848472453706,1108.0659331912386
2024-07-17 11:30:00,2024-07-17 12:00:00,long,1556,64911.6,64737.3,stop_loss,-27.12107999999932,8.069347536,-35.19042753599932,1072.8755056552393
2024-07-19 22:30:00,2024-07-21 06:00:00,long,199,66937.5,66673.88878281145,stop_loss,-5.245863222052086,1.0635466547111792,-6.309409876763265,1066.566095778476
2024-07-25 08:30:00,2024-07-25 15:00:00,short,221,64023.4,64987.24134495308,stop_loss,-21.300893723463027,1.1404540694893854,-22.441347792952413,1044.1247479855235
2024-07-27 15:00:00,2024-07-27 19:00:00,long,308,68994.0,68318.03678918508,stop_loss,-20.819666893099644,1.6916842932427603,-22.511351186342402,1021.6133967991811
2024-07-27 19:30:00,2024-07-27 20:00:00,long,750,68590.3,68259.79999999999,stop_loss,-24.787500000001092,4.105503000000001,-28.893003000001094,992.7203937991801
2024-07-27 21:30:00,2024-07-28 18:30:00,short,689,68936.9,68270.1,30m ST Green,45.9425199999992,3.7814249200000005,42.1610950799992,1034.8814888791794
2024-07-29 12:30:00,2024-07-29 14:00:00,long,292,69723.5,69021.84138191676,stop_loss,-20.48843164803056,1.620545587340788,-22.10897723537135,1012.7725116438081
2024-07-30 00:30:00,2024-07-31 06:00:00,short,142,66302.3,66534.28830504944,stop_loss,-3.2942339317020353,0.7545118215726809,-4.048745753274716,1008.7237658905334
2024-07-31 06:30:00,2024-07-31 07:00:00,short,1187,66364.3,66534.28830504944,stop_loss,-20.177611809368422,6.310024972723749,-26.48763678209217,982.2361291084412
2024-08-02 20:30:00,2024-08-05 16:00:00,short,109,62542.8,55187.4441716317,stop_loss,80.17337852921449,0.5133038645883143,79.66007466462618,1061.8962037730673
2024-08-08 23:30:00,2024-08-09 10:00:00,long,117,61973.9,60169.66689962958,stop_loss,-21.10952727433396,0.5716318930902664,-21.681159167424227,1040.215044605643
2024-08-09 10:30:00,2024-08-09 13:30:00,long,424,60660.0,60169.66689962958,stop_loss,-20.790123455705913,2.0492711506177175,-22.83939460632363,1017.3756499993194
2024-08-09 14:00:00,2024-08-09 14:30:00,long,724,60450.8,60169.66689962958,stop_loss,-20.354036466818798,3.493168721413273,-23.84720518823207,993.5284448110873
2024-08-12 07:30:00,2024-08-12 11:00:00,short,211,58342.7,59281.81789878813,stop_loss,-19.815387664429668,0.9927509310657718,-20.80813859549544,972.7203062155919
2024-08-12 14:30:00,2024-08-13 14:30:00,short,196,59586.1,59734.57548794716,stop_loss,-2.910119563764305,0.9354740958255059,-3.845593659589811,968.8747125560021
2024-08-15 08:30:00,2024-08-15 12:30:00,short,241,58181.0,58983.69021659028,stop_loss,-19.34483421982573,1.1294676136879302,-20.47430183351366,948.4004107224885
2024-08-18 14:30:00,2024-08-18 21:30:00,long,377,59862.6,59360.408469261754,stop_loss,-18.93262070883181,1.7978829677164674,-20.730503676548278,927.6699070459401
2024-08-20 05:30:00,2024-08-20 14:00:00,long,186,61142.1,60153.52969719596,stop_loss,-18.38740763215509,0.902439484947138,-19.289847117102227,908.3800599288379
2024-08-20 16:30:00,2024-08-21 08:00:00,short,162,58950.0,59904.16081896211,stop_loss,-15.457405267186202,0.7701749621068745,-16.227580229293075,892.1524796995449
2024-08-23 21:30:00,2024-08-24 21:30:00,long,107,64261.9,63567.73881349812,stop_loss,-7.427524695570101,0.547110854121772,-7.9746355496918735,884.177844149853
2024-08-24 22:00:00,2024-08-26 02:00:00,long,1389,63611.2,63934.4,30m ST Red,44.8924800000006,7.086433536000001,37.8060464640006,921.9838906138535
2024-08-27 05:30:00,2024-08-29 13:30:00,short,316,63122.3,60571.2261621372,stop_loss,80.61393327646451,1.5634861706894143,79.05044710577509,1001.0343377196286
2024-08-29 19:30:00,2024-08-30 10:00:00,short,178,59469.6,59662.534106427505,stop_loss,-3.434227094409621,0.8482207948377639,-4.2824478892473845,996.7518898303813
2024-09-01 13:30:00,2024-09-01 18:00:00,short,290,57956.8,58642.76459150054,stop_loss,-19.89297315351562,1.3525549492614064,-21.245528102777026,975.5063617276043
2024-09-01 18:30:00,2024-09-01 19:00:00,short,1666,58547.8,58642.76459150054,stop_loss,-15.821100943989718,7.809579224377597,-23.630680168367313,951.8756815592369
2024-09-04 05:30:00,2024-09-04 14:30:00,short,175,56505.0,57271.2054366837,stop_loss,-13.408595141964689,0.796433438056786,-14.205028580021475,937.6706529792154
2024-09-04 16:30:00,2024-09-05 03:00:00,long,151,58287.7,57285.52665469127,stop_loss,-15.13281751416181,0.6980622889943353,-15.830879803156144,921.8397731760593
2024-09-05 23:30:00,2024-09-06 12:30:00,short,185,56092.8,56695.54414083883,stop_loss,-11.150766605518278,0.8346337466422076,-11.985400352160486,909.8543728238989
