DEMA,ADX_TF,ADX_Thresh,Trades,WinRate,NetProfit,AnnReturn,ProfitFactor,MaxDD,Sharpe,FinalEquity
200,30m,20.0,843,27.40%,-456.486859882765,-11.43%,0.9236896041167449,-73.65%,-0.08717599352331688,543.5131401172373
100,30m,20.0,504,29.76%,-461.864914510199,-11.61%,0.8688105845947778,-76.40%,-0.2245713329549401,538.1350854898014
200,30m,30.0,825,31.15%,-469.9412846118015,-11.87%,0.9120459086474296,-69.99%,-0.10464997489025271,530.058715388197
250,30m,30.0,669,30.34%,-479.57992194562485,-12.20%,0.8893993633837939,-69.30%,-0.14801094641320792,520.420078054375
100,30m,30.0,846,31.09%,-480.3381639923872,-12.22%,0.9137117316245579,-67.28%,-0.1000589095836718,519.6618360076119
100,1h,20.0,398,30.65%,-495.6446148490337,-12.74%,0.82241095458191,-85.77%,-0.374451651195753,504.3553851509671
250,1h,20.0,482,26.97%,-553.7649711498882,-14.84%,0.8419709140755379,-78.01%,-0.27078381567728194,446.2350288501116
200,1h,15.0,472,28.81%,-555.7132804526873,-14.92%,0.8297894172167505,-83.69%,-0.3341020991425674,444.2867195473129
150,1h,20.0,369,28.18%,-557.6659374753808,-14.99%,0.7925131727339458,-82.73%,-0.43957078786527193,442.3340625246195
250,30m,20.0,461,28.85%,-566.1220518117399,-15.32%,0.8150557281000192,-78.06%,-0.36099640337242894,433.87794818826023
150,1h,15.0,391,27.11%,-579.1259823733483,-15.83%,0.7867142007161024,-86.79%,-0.47920772692672775,420.87401762665047
150,30m,20.0,372,27.69%,-589.8135701485099,-16.26%,0.778023717032932,-80.19%,-0.503337608710696,410.1864298514902
250,1h,15.0,449,28.95%,-611.6583668616283,-17.17%,0.7990881776041981,-76.73%,-0.4052345495825698,388.34163313837223
100,1h,15.0,419,29.36%,-668.5341522332728,-19.74%,0.7748952896439417,-85.52%,-0.47985080792895585,331.46584776672773
100,30m,15.0,790,26.20%,-780.9905817980665,-26.10%,0.8741674332776403,-89.89%,-0.16161920574019123,219.00941820193287
200,30m,None,424,27.59%,-809.1803502372026,-28.10%,0.7269524023063296,-85.50%,-0.6072746011112906,190.819649762798
200,1h,None,424,27.59%,-809.1803502372026,-28.10%,0.7269524023063296,-85.50%,-0.6072746011112906,190.819649762798
100,30m,None,820,26.22%,-816.2230344022094,-28.63%,0.8635890977239274,-92.48%,-0.16997184157321907,183.77696559778977
100,1h,None,820,26.22%,-816.2230344022094,-28.63%,0.8635890977239274,-92.48%,-0.16997184157321907,183.77696559778977
250,30m,15.0,479,28.39%,-843.8664222902893,-30.91%,0.7427185370379433,-85.08%,-0.5173281082621757,156.13357770971098
200,30m,15.0,465,26.88%,-870.839311517672,-33.47%,0.7352244820124476,-90.33%,-0.5413107786756675,129.1606884823285
250,30m,None,451,27.72%,-892.6684689228487,-35.88%,0.7013741182380928,-89.54%,-0.6663211468309092,107.33153107715162
250,1h,None,451,27.72%,-892.6684689228487,-35.88%,0.7013741182380928,-89.54%,-0.6663211468309092,107.33153107715162
150,30m,15.0,430,25.12%,-922.8462049188861,-39.96%,0.6917873944438427,-97.09%,-0.6428429179777625,77.1537950811135
150,1h,None,389,24.42%,-973.8217463370815,-51.59%,0.5768720787891805,-99.63%,-1.042884396285029,26.178253662919264
150,30m,None,389,24.42%,-973.8217463370815,-51.59%,0.5768720787891805,-99.63%,-1.042884396285029,26.178253662919264
