window_start,is_end,oos_end,is_sharpe,oos_sharpe,is_pnl,oos_pnl,oos_ratio,passed
2021-05-11,2022-05-11,2022-08-09,0.9676080401695085,1.7317696929993442,176.09367887801966,51.04458920832167,0.2898717860490627,True
2021-08-09,2022-08-09,2022-11-07,0.9145973010364866,1.2234686315872294,169.04983214846584,98.12380278361832,0.5804430654355359,True
2021-11-07,2022-11-07,2023-02-05,1.1407807146256068,-0.81495800024095,3493.236928271076,-31.913584236125416,-0.009135820126555387,False
2022-02-05,2023-02-05,2023-05-06,1.1595265585528238,1.0718882016330513,3691.368845477051,20.952828794069774,0.005676167750004932,True
2022-05-06,2023-05-06,2023-08-04,1.1836872469308497,-2.775819335294634,4069.4129949603966,-58.167023715278106,-0.014293713561959121,False
2022-08-04,2023-08-04,2023-11-02,0.7391109963487279,0.6279070587983173,197.03274721834555,20.8482323344698,0.10581100161673347,True
2022-11-02,2023-11-02,2024-01-31,0.33166276188369653,1.6678738986096358,40.564050744957285,235.74106827404955,5.811576110981857,True
2023-01-31,2024-01-31,2024-04-30,0.7061868753533274,2.253985336038914,206.96834035831898,53.279691270767444,0.25742918544220666,True
2023-05-01,2024-04-30,2024-07-29,0.9481406898690984,-0.834110580328361,360.5041163749843,-227.66249984281677,-0.6315115126341855,False
2023-07-30,2024-07-29,2024-10-27,0.5573421682475243,1.2744090784937017,69.60096194777736,142.43038148031803,2.0463852437439827,True
2023-10-28,2024-10-27,2025-01-25,0.6131651758829779,1.0294473295047433,100.06372493227116,28.83381404966019,0.2881545142275741,True
2024-01-26,2025-01-25,2025-04-25,0.12797603315143027,2.1049096805235825,-114.11083550973285,50.39515479061345,0.0,True
2024-04-25,2025-04-25,2025-07-24,0.2411492511509724,0.22281239970040906,-71.08512277488694,3.293227332765696,0.0,True
2024-07-24,2025-07-24,2025-10-22,0.9192791764504438,-0.7500065865838798,327.63444816068704,-42.92199149067824,-0.13100573438366686,False
2024-10-22,2025-10-22,2026-01-20,0.712535224472495,-2.2049633267043642,100.26792809217909,-32.05643350192645,-0.31970774814909986,False
2025-01-20,2026-01-20,2026-04-20,-0.0024887309466205846,0.34339303231776025,-16.144584244453654,6.2040384721345845,0.0,True
