timestamp,open,high,low,close,volume
1715360400,147.95,148.23,145.71,146.59,446636.6
1715364000,146.57,148.27,145.88,148.1,248560.0
1715367600,148.1,148.63,146.53,147.16,138611.2
1715371200,147.16,148.03,146.0,146.12,192006.4
1715374800,146.13,147.14,145.78,146.49,124444.4
1715378400,146.49,146.6,144.43,145.81,212641.9
1715382000,145.81,146.62,145.77,146.04,91437.0
1715385600,146.04,146.85,145.18,146.06,171119.1
1715389200,146.07,147.76,145.72,146.06,193166.4
1715392800,146.07,146.28,143.61,144.5,363896.6
1715396400,144.49,144.74,143.34,143.68,167173.5
1715400000,143.68,145.09,143.57,144.65,116184.2
1715403600,144.66,145.79,144.6,145.42,131509.0
1715407200,145.42,146.5,145.17,145.5,122139.8
1715410800,145.53,145.97,145.09,145.73,87029.0
1715414400,145.73,145.83,144.02,144.03,135226.3
1715418000,144.02,145.13,143.89,145.11,84024.2
1715421600,145.1,145.1,143.73,144.14,79670.4
1715425200,144.13,144.64,143.11,144.22,147884.2
1715428800,144.22,145.2,143.86,144.53,87080.1
1715432400,144.53,145.5,144.09,145.23,113879.3
1715436000,145.23,145.53,144.46,144.85,97825.4
1715439600,144.85,147.1,144.32,145.62,325581.1
1715443200,145.62,146.6,145.27,145.7,150835.6
1715446800,145.71,145.95,144.83,145.74,86088.7
1715450400,145.74,146.72,145.6,146.28,84130.9
1715454000,146.28,146.51,145.84,146.41,42313.4
1715457600,146.41,146.51,145.14,145.94,125370.7
1715461200,145.94,146.2,145.32,145.56,74215.1
1715464800,145.55,145.98,145.09,145.82,53981.1
1715468400,145.81,146.24,145.13,145.39,71425.7
1715472000,145.39,146.48,145.2,145.63,128376.8
1715475600,145.62,146.32,145.45,145.63,68260.7
1715479200,145.63,146.96,145.61,146.69,90370.2
1715482800,146.7,146.87,146.25,146.4,65580.3
1715486400,146.41,147.47,146.19,147.11,101959.5
1715490000,147.11,147.56,146.77,147.5,79481.2
1715493600,147.51,147.8,146.21,146.41,132808.5
1715497200,146.41,146.83,143.72,144.21,350541.8
1715500800,144.21,145.1,143.84,144.96,127077.8
1715504400,144.96,145.13,144.54,144.94,66908.5
1715508000,144.93,146.35,144.83,145.46,215807.4
1715511600,145.46,145.61,144.8,145.04,79639.9
1715515200,145.04,145.73,144.96,145.25,78613.5
1715518800,145.27,145.5,144.69,145.22,79792.1
1715522400,145.22,145.49,144.0,144.45,129603.7
1715526000,144.44,145.51,144.01,145.21,161399.8
1715529600,145.2,146.41,144.88,144.96,211977.4
1715533200,144.96,145.59,144.33,145.32,135647.0
1715536800,145.31,145.77,144.96,145.14,58003.1
1715540400,145.14,145.36,144.73,144.98,44395.3
1715544000,144.98,145.29,144.34,144.68,39288.2
1715547600,144.67,144.82,142.28,143.86,163921.0
1715551200,143.87,143.93,143.09,143.24,109247.8
1715554800,143.25,143.98,143.06,143.41,72473.6
1715558400,143.43,145.88,143.43,145.18,191420.3
1715562000,145.17,145.36,142.25,143.08,271235.9
1715565600,143.08,143.25,139.89,140.49,557097.9
1715569200,140.5,140.55,138.4,140.15,552936.4
1715572800,140.14,140.15,137.78,138.75,416931.0
1715576400,138.75,139.44,137.85,138.25,169034.2
1715580000,138.25,141.74,138.14,141.23,436911.4
1715583600,141.22,144.09,140.81,143.53,532884.9
1715587200,143.53,145.64,143.53,144.66,1056435.6
1715590800,144.66,147.68,144.66,146.07,585494.9
1715594400,146.08,146.3,144.17,145.26,455248.0
1715598000,145.27,146.16,144.62,145.62,176335.8
1715601600,145.62,146.46,144.84,145.96,236892.4
1715605200,145.96,146.22,145.03,145.56,206843.5
1715608800,145.58,147.32,145.43,145.7,376008.7
1715612400,145.69,148.29,145.6,147.24,290064.9
1715616000,147.25,150.89,147.05,149.65,554930.3
1715619600,149.65,149.98,146.66,147.49,437210.6
1715623200,147.48,147.73,145.8,147.72,328308.3
1715626800,147.72,149.14,147.68,148.81,227305.6
1715630400,148.81,149.63,147.88,148.81,143817.5
1715634000,148.81,149.04,147.39,147.76,103732.0
1715637600,147.77,148.0,146.75,146.96,155300.6
1715641200,146.96,147.89,146.9,147.57,102009.5
1715644800,147.55,148.3,146.41,146.8,193864.0
1715648400,146.8,147.97,146.53,147.59,192934.2
1715652000,147.59,148.08,146.14,146.63,293062.6
1715655600,146.63,146.94,145.65,146.32,273250.4
1715659200,146.32,148.02,146.24,147.86,162714.7
1715662800,147.85,149.09,147.54,148.6,167950.4
1715666400,148.6,148.63,143.65,146.07,839771.2
1715670000,146.06,146.73,145.63,146.56,174131.9
1715673600,146.57,146.61,145.39,146.1,188331.3
1715677200,146.1,147.54,145.87,146.25,226284.6
1715680800,146.26,146.85,145.42,146.09,178934.0
1715684400,146.08,146.88,146.0,146.56,111872.2
1715688000,146.57,148.47,145.18,146.56,645477.4
1715691600,146.54,147.05,144.23,144.39,414511.8
1715695200,144.4,145.56,141.89,143.51,1043901.2
1715698800,143.52,144.66,142.5,142.89,367739.5
1715702400,142.89,143.43,141.83,143.12,269585.9
1715706000,143.14,143.39,142.16,142.86,227831.6
1715709600,142.85,144.03,142.56,143.84,174757.8
1715713200,143.86,144.72,143.62,143.79,118273.7
1715716800,143.78,143.91,142.81,142.98,92214.3
1715720400,142.98,143.59,142.4,143.31,68376.0
1715724000,143.3,143.3,142.27,143.02,94769.0
1715727600,143.02,143.09,141.86,142.02,94784.1
1715731200,142.03,143.53,141.2,141.7,204066.2
1715734800,141.69,143.41,141.63,142.84,156254.1
1715738400,142.84,143.28,142.39,142.92,187609.0
1715742000,142.91,144.14,142.87,143.91,229417.1
1715745600,143.91,144.08,143.26,143.41,194507.2
1715749200,143.4,144.48,143.36,143.97,257692.5
1715752800,143.97,144.57,143.13,143.79,264078.1
1715756400,143.78,144.57,143.31,144.24,162616.5
1715760000,144.24,144.67,143.51,144.15,135617.0
1715763600,144.15,146.06,143.15,145.02,404659.6
1715767200,145.02,145.71,144.4,144.66,253325.3
1715770800,144.65,144.9,143.11,144.18,229271.1
1715774400,144.17,149.9,143.61,148.98,1099782.3
1715778000,148.98,153.15,148.29,150.91,918360.7
1715781600,150.91,152.91,150.82,152.46,339357.7
1715785200,152.46,154.12,151.32,151.72,410301.0
1715788800,151.71,153.54,151.01,153.11,346374.4
1715792400,153.11,154.25,153.08,153.68,223015.9
1715796000,153.68,154.78,152.41,153.96,276042.4
1715799600,153.96,154.99,153.07,154.92,304445.5
1715803200,154.92,156.98,154.21,156.64,341212.9
1715806800,156.64,156.95,155.58,155.7,131018.0
1715810400,155.71,156.57,155.43,155.91,139756.3
1715814000,155.93,159.0,155.72,158.48,366581.9
1715817600,158.48,161.97,158.1,161.55,908666.6
1715821200,161.55,161.76,159.79,160.36,327780.5
1715824800,160.37,161.65,160.37,161.44,209702.5
1715828400,161.44,163.81,161.05,163.06,505755.2
1715832000,163.07,163.47,162.31,162.98,305388.7
1715835600,162.99,163.03,161.31,161.76,314699.1
1715839200,161.76,161.98,161.35,161.75,127731.8
1715842800,161.75,163.66,161.69,162.76,290746.4
1715846400,162.75,163.47,162.3,162.9,213248.2
1715850000,162.91,164.79,161.83,164.33,378000.4
1715853600,164.32,164.33,162.47,163.11,348503.3
1715857200,163.13,163.89,162.08,163.74,217908.2
1715860800,163.73,163.76,160.55,161.68,627641.7
1715864400,161.68,163.48,160.11,162.96,494863.2
1715868000,162.95,163.25,158.04,158.56,695564.2
1715871600,158.56,161.08,157.63,160.45,536456.9
1715875200,160.46,160.62,157.56,158.21,556410.3
1715878800,158.22,159.66,156.65,159.45,568718.2
1715882400,159.42,160.24,158.26,159.58,231548.4
1715886000,159.58,160.38,159.01,159.09,220449.1
1715889600,159.07,159.41,158.1,158.8,167667.8
1715893200,158.81,159.44,158.07,158.99,113689.0
1715896800,158.99,159.12,157.45,158.88,137371.3
1715900400,158.89,159.56,158.35,159.36,196534.0
1715904000,159.35,162.32,159.33,162.29,323412.3
1715907600,162.28,162.28,159.83,161.19,285561.2
1715911200,161.18,161.29,160.14,160.33,174856.1
1715914800,160.33,162.87,159.68,162.14,281541.1
1715918400,162.16,162.78,161.0,161.45,209607.4
1715922000,161.44,163.8,161.32,163.42,318106.5
1715925600,163.42,168.03,162.55,166.8,651124.9
1715929200,166.8,169.87,166.79,169.18,814266.2
1715932800,169.2,170.05,167.83,168.38,360826.8
1715936400,168.38,169.18,167.75,168.05,201959.9
1715940000,168.06,169.13,167.41,169.05,196344.3
1715943600,169.05,169.08,167.3,167.52,181958.8
1715947200,167.52,168.86,165.8,168.03,451929.0
1715950800,168.03,168.39,166.15,166.45,290589.1
1715954400,166.46,168.35,166.44,168.31,257230.4
1715958000,168.3,170.92,167.51,169.65,602422.0
1715961600,169.66,172.05,168.33,168.33,636011.8
1715965200,168.33,168.83,167.13,167.37,252373.0
1715968800,167.38,168.46,166.26,168.16,272534.1
1715972400,168.15,168.96,167.51,168.96,108884.4
1715976000,168.95,169.11,168.27,168.65,93121.0
1715979600,168.66,169.1,167.67,167.71,86238.4
